seed_id,source_question_id,question,answer,expected_sources,evidence_count,evidence_child_ids,evidence_titles,evidence_source_files,reference_scope,trap_type,style,category,difficulty,approval_status,corpus_version,index_version
CACHE001,QA001,相続税の基礎控除はいくらで計算しますか,基礎控除額は3000万円に600万円×法定相続人の数を加えた金額。課税価格の合計がこれを超えるかで申告要否を検討する。,No.4102,1,8fbbb1ec508ffa8e,No.4102 相続税がかかる場合,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4102_相続税がかかる場合.md,single,none,formal,相続税,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE002,QA002,法定相続人の範囲と順位をざっくり教えてください,配偶者は常に相続人となり血族相続人は子や直系尊属や兄弟姉妹の順に扱う。代襲相続や養子の扱いも確認が必要。,No.4132,1,82f9aec89231e574,No.4132 相続人の範囲と法定相続分,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4132_相続人の範囲と法定相続分.md,single,none,formal,相続税,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE003,QA003,相続税がかかる財産には何がありますか,現金預貯金土地建物有価証券など本来の相続財産に加え死亡保険金や死亡退職金などのみなし相続財産も対象になり得る。,No.4105,1,7a7a60740564b9ec,No.4105 相続税がかかる財産,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4105_相続税がかかる財産.md,single,none,formal,相続税,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE004,QA004,相続税がかからない財産はどんなものですか,墓地仏壇祭具など性質上非課税のものや一定の公益目的財産などがある。死亡保険金等は非課税限度額の確認が必要。,No.4108,1,9f289ec7aa10f3ca,No.4108 相続税がかからない財産,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4108_相続税がかからない財産.md,single,none,formal,相続税,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE005,QA005,死亡保険金は相続税の対象になりますか,被相続人が保険料を負担していた死亡保険金はみなし相続財産として相続税の対象になり得る。相続人取得分は500万円×法定相続人の数の非課税枠を確認する。,No.4114,1,6dbdcac94932af79,No.4114 相続税の課税対象になる死亡保険金,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4114_相続税の課税対象になる死亡保険金.md,single,similar_terms,formal,相続税,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE006,QA006,死亡退職金にも相続税はかかりますか,被相続人の死亡により支給される退職手当金等はみなし相続財産として相続税の対象になり得る。相続人取得分は500万円×法定相続人の数の非課税枠を確認する。,No.4117,1,42f4e51e672f2970,No.4117 相続税の課税対象になる死亡退職金,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4117_相続税の課税対象になる死亡退職金.md,single,similar_terms,formal,相続税,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE007,QA007,弔慰金は全部相続税の対象ですか,弔慰金等は一定額までは弔慰金として扱われるが実質的に退職手当金等と認められる部分は死亡退職金として相続税の対象になり得る。,No.4120,1,f34b8183ce97dbdd,No.4120 弔慰金を受け取ったときの取扱い,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4120_弔慰金を受け取ったときの取扱い.md,single,similar_terms,formal,相続税,hard,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE008,QA008,年金を受け取る権利を相続した場合は相続税の対象ですか,年金受給権は契約や制度の内容により相続税等の課税対象になり得るため定期金に関する権利として評価や課税関係を確認する。,No.4123,1,0e9dfa6e3b1eea35,No.4123 相続税等の課税対象になる年金受給権,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4123_相続税等の課税対象になる年金受給権.md,single,none,formal,相続税,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE009,QA009,小規模宅地等の特例って何を減額する制度ですか,被相続人等の事業用や居住用など一定の宅地等について要件を満たす場合に相続税評価額を一定割合減額する制度。,No.4124,1,c7549513f74fb13e,No.4124 相続した事業の用や居住の用の宅地等の価額の特例（小規模宅地等の特例）,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4124_相続した事業の用や居住の用の宅地等の価額の特例（小規模宅地等の特例）.md,single,none,formal,小規模宅地,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE010,QA010,相続財産から控除できる債務は何ですか,被相続人の債務で相続開始時に現に存在し確実と認められるものなどが債務控除の対象。保証債務などは確実性を確認する。,No.4126,1,eafedea85395a2ab,No.4126 相続財産から控除できる債務,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4126_相続財産から控除できる債務.md,single,none,formal,債務控除,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
